COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
00b3a7589471eab128f6589922566e52c754a00e,553,4,0.007233273056057866,10,503,,,
0194c9c4879275217f65d7d1001b46490891a095,553,6,0.0108499095840868,10,502,,,
10ca10d879f7fb7c1762aa6b665b297930aec10a,551,3,0.0054446460980036296,10,498,,,
2e6240c2ac5ff745f5279ec6864c4cdd0ae0bba3,553,4,0.007233273056057866,10,505,,,
METRICS,,,,,,3.4545454545454546,3.0,1.694912172570388
b282860de710b27efbb109a6cea8a041d291e833,553,5,0.009041591320072333,10,507,,,
d9bc77877185b0c7f8ed21f8e10f007ea0eb19d3,553,2,0.003616636528028933,10,500,,,
e1b246f0cefcc5ca7a45cc99ea5d8852576b5ada,553,2,0.003616636528028933,10,504,,,
e25f21fb91e2900e55696bdd31801b11fae70cce,553,6,0.0108499095840868,10,499,,,
ef1148bb27951e2d905f7524bf166b3c379a6b03,553,3,0.0054249547920434,10,506,,,
f8add2b071313f8397bb80519519418aedb2460f,553,1,0.0018083182640144665,10,501,,,
fa010b744b6fc2e5d6a0c97e23359507c083c54b,553,2,0.003616636528028933,10,508,,,
