COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
14b317cbb55a59716ba27ad65899bf09263e9541,456,23,0.05043859649122807,3,140,,,
2ded8a9d224a59a685a715c1e8281723d443e3bd,455,5,0.01098901098901099,3,136,,,
326b328eb3403df4e15d8fb792c607aefafe00e4,456,3,0.006578947368421052,3,139,,,
94394320e87dbe9447789ad59c6547c4c6bd5502,456,4,0.008771929824561403,3,137,,,
METRICS,,,,,,8.0,5.0,8.426149773176359
f252f7e0b3fcc44eb2f06fc59c331f5125d0d6e2,456,5,0.010964912280701754,3,138,,,
