COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
03291eb5f4f3e9933b7f98d4c3569fd00728026f,319,1,0.003134796238244514,1,11619,,,
1315112ab51f292cdf95fc2b857de32f01c20eba,319,1,0.003134796238244514,1,23223,,,
50065a27813c5519aa296458b41cd81e6a8bdec0,319,5,0.01567398119122257,1,19356,,,
5129a3ccc3bca2d47e76402be207f5caf438463d,319,3,0.009404388714733543,1,30954,,,
53b2e1372c78806681a8c3918c59e818f5e8e660,319,1,0.003134796238244514,1,3874,,,
56b64d688d0e59f24d0c94ce9aef66b01f2a766e,319,1,0.003134796238244514,1,15488,,,
METRICS,,,,,,1.6666666666666667,1.0,1.4142135623730951
aee7d7327f6cce5b128e93581062aee4287da209,319,1,0.003134796238244514,1,7747,,,
bf3a20b2d71342540ccd3e31c487178502ce1305,318,1,0.0031446540880503146,1,34818,,,
d3f9da7645397d63aecade6c1a64d204ffa1350a,319,1,0.003134796238244514,1,27089,,,
