COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
2b2e027b34a60cbb438dd048a4a532858cd5bbe6,80,2,0.025,1,459,,,
58b4ffd93595720fa63cec45b349631e90d3b4db,79,1,0.012658227848101266,1,2739,,,
6dcfe1283a775fcf4a27c3a395e05714c2aa9c4a,80,2,0.025,1,1374,,,
METRICS,,,,,,2.0,1.5,1.5491933384829668
a076ce070284702b108fd1e128b0de3011df948c,80,1,0.0125,1,2285,,,
b68149c7bc861cb758c6b0f8b211261705cc2452,80,5,0.0625,1,1830,,,
fff313a62dc6712654e4da6c668caa3c873b54a1,80,1,0.0125,1,917,,,
