COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
02f281eef3ead61af68f38b439eec1f859a2f2ad,364,4,0.01098901098901099,1,34987,,,
11917645f2159e7c94449e1103237dddee0f42de,361,10,0.027700831024930747,1,84557,,,
2a5cf11ee27c0faeda1009d6a8099882230038fc,362,3,0.008287292817679558,1,49895,,,
43a28aed967b66de87e2a539ca92c5cb93ce9b66,364,1,0.0027472527472527475,1,5019,,,
4acf343fea062e26def0cdef77c45a596a1a30ca,362,1,0.0027624309392265192,1,59812,,,
52f0b36558e97712f5f0107fbc3b9fe6ac475c32,364,1,0.0027472527472527475,1,15050,,,
5d9662f80f2aba39158cd26ea00216f4877e79a8,364,1,0.0027472527472527475,1,10037,,,
75c5c162979b7cd729131e682b4ac7a299ca9067,362,1,0.0027624309392265192,1,54855,,,
842470b0c4d3a1e738d6226cd5800779ffab6870,361,4,0.0110803324099723,1,79610,,,
8a257aca6b40adc73e22909ffff0ee6e1a4818d0,362,3,0.008287292817679558,1,39964,,,
METRICS,,,,,,3.6470588235294117,3.0,3.2004135762153507
a701e59c070338677a27a5801cfa3d4feb12977c,364,1,0.0027472527472527475,1,25025,,,
ac03af3229777ddd3fbfb43a646339789e32850a,361,7,0.019390581717451522,1,64763,,,
b6d81c58df04991fc4b1f8eeaa46a23cb3af6be5,364,2,0.005494505494505495,1,30009,,,
d0e12d69bc73346c156039e569b3d54d2e6ed806,364,4,0.01098901098901099,1,20040,,,
d438362971b8a8ceaaa8d5cea6207e7db398aea8,361,1,0.002770083102493075,1,74662,,,
dc30114605bd4c8f121a02e3d4b1aa5e700fde22,362,10,0.027624309392265192,1,44930,,,
fe6bfc6f1b2540dad111153d855a5ec91b2fbf33,361,8,0.0221606648199446,1,69713,,,
