COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
036cbda2f620942a84b475a858d5f3a88b71a322,247,2,0.008097165991902834,1,2922,,,
0831d2b0f839f8dfc2dcd39387597b4f89a5ac0a,247,12,0.048582995951417005,1,20382,,,
3ca2cb0119608a2f31c5561917c9de4c4ab4d663,247,4,0.016194331983805668,1,8751,,,
4bf716c2ad36d955a27250e12509ae9e4eb8b940,247,2,0.008097165991902834,1,17477,,,
5647a902de7d58e98e3be6b1417fcda1b5ec46ca,247,1,0.004048582995951417,1,5837,,,
903cce27451db147ba04377f25d0fb11865c75f8,247,2,0.008097165991902834,1,26189,,,
92064134d67eb17392a45e4fc82d83423a4b8ff4,247,13,0.05263157894736842,1,23286,,,
METRICS,,,,,,4.222222222222222,2.0,4.790035954399971
bd442680ea6809a9ed9811fd0a51577c5865c852,247,1,0.004048582995951417,1,14571,,,
cab9047de10dbfec0dd322acfb191cf0dfdf38e3,247,1,0.004048582995951417,1,11664,,,
