COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
00ed567f9996c278a8d426b60711dfb124026429,197,1,0.005076142131979695,1,13542,,,
0fa03d265100e345cf2bc9e25aa5323eee3d3cd5,197,1,0.005076142131979695,1,19124,,,
1b20a185ca4bd71add78d3881037f4b7d677158e,197,1,0.005076142131979695,1,24682,,,
1e15df070181857e7ff079f72e2bce6a977b0d9d,197,1,0.005076142131979695,1,26528,,,
2b01b06ec884ab149c619333ed94fdb89dea69fb,197,1,0.005076142131979695,1,9741,,,
53dec6a4f66193ebf3107c4a30f053deb168e42e,197,1,0.005076142131979695,1,20980,,,
5a990f7854806f24bf0cc2d79529d56e1993b015,197,2,0.01015228426395939,1,28373,,,
639acea0a7cd51c55cf9d406ac4a6273b95bfa21,197,1,0.005076142131979695,1,22835,,,
656dcca3d293c312ea3efdf719427c9d1ef0bd86,197,1,0.005076142131979695,1,7839,,,
73e589df5607726fb0379f6c5e18db5089562768,196,2,0.01020408163265306,1,33902,,,
99721ee8aab2b08064dc56a9782997a403b21d2e,197,1,0.005076142131979695,1,17267,,,
9d2849c56201d3e6322c309bf36606f4ef5f62a8,197,1,0.005076142131979695,1,2001,,,
METRICS,,,,,,1.1111111111111112,1.0,0.3233808333817773
bdd84f275ea53da95b598e9c829ca66266199a3c,197,1,0.005076142131979695,1,15405,,,
ef22ebd7f180c6bd1e18762803bb4b97134a8cd2,197,1,0.005076142131979695,1,5936,,,
f612330565f55fa4ecc52b1fe57a71e8832f9691,196,1,0.00510204081632653,1,32060,,,
f72365da4fee5e69cb96d20dc61c7fbdafe0f198,197,1,0.005076142131979695,1,3991,,,
f8f678430540680fa71a7d0f2226664e4d363ebd,197,1,0.005076142131979695,1,11642,,,
fad210100b1f7620bb1397d35b183d7cdcd2aea6,196,1,0.00510204081632653,1,30217,,,
