COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
0553dc2f85d489ab6340063965ce323b5cc88aed,346,1,0.002890173410404624,1,9383,,,
0701fa7b164acc6f01305763c3a4300c332fd06e,346,1,0.002890173410404624,1,14073,,,
1f2250e7a4bc11830dac5b233aeb48352677e61e,346,3,0.008670520231213872,1,23446,,,
3a96d01e4a96cc0409c8001e8e92dfc2518c2b8c,346,2,0.005780346820809248,1,32813,,,
95644a844f8782929c952c0c95e00b526ea3b458,346,1,0.002890173410404624,1,37495,,,
METRICS,,,,,,1.375,1.0,0.7440238091428449
a041d506810fc8611f193b1c137f859f36ee4ca3,346,1,0.002890173410404624,1,4692,,,
ccef84a8033f5d4b2a9ad4ef7b85d17a831d4c11,346,1,0.002890173410404624,1,28130,,,
e3c74d5365611f04f50652e888eab764f5c6b7db,346,1,0.002890173410404624,1,18760,,,
