COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
04e0b318c8d9395a4b780c0ff2671b4e51a22afe,214,1,0.004672897196261682,1,33605,,,
0bb2af8dee0c7d12a9a49c9a825871cfff7d7248,217,1,0.004608294930875576,1,2120,,,
0e0e25b9ba75105295fb925751af83d6793fd83f,214,1,0.004672897196261682,1,31513,,,
1bbacbd396c812b2b840f392af0c086a37b9d864,216,1,0.004629629629629629,1,16841,,,
1e7dbcaaff7769b7a6df816ca005205824469683,217,1,0.004608294930875576,1,6331,,,
26dc14881c444198f2c57d740d8ab126525a5b67,214,2,0.009345794392523364,1,23135,,,
3418a9197a2878b55f4b1e31da08baeee0a2157f,216,2,0.009259259259259259,1,14741,,,
5d6b755d7d246a82f760b06bc6bfa27b01fbd6be,217,2,0.009216589861751152,1,8435,,,
81a7b2267267d3712eaadf8e4bf8f0b14e66b72b,215,2,0.009302325581395349,1,18940,,,
930aac3b79f41142a7123b3f897b2fed39a1ddfc,216,1,0.004629629629629629,1,12640,,,
95491eb7e7c111b20b86b18756a26a0f971c4595,216,1,0.004629629629629629,1,10538,,,
METRICS,,,,,,1.4375,1.0,0.6291528696058958
a62d868c748670502029f3203a1d6b1c26f3131e,217,1,0.004608294930875576,1,4226,,,
c6a37a424b25b0ff73fa80cd80ebf5868a457ec1,214,2,0.009345794392523364,1,27326,,,
e3594728706db09aae99401b317fdb64a9751b2e,214,1,0.004672897196261682,1,25231,,,
f883acc6644bd60930aa88f2504af3b0e04a7f89,214,3,0.014018691588785047,1,21038,,,
f99c726085569fffcb65de0a28da93df1473369b,214,1,0.004672897196261682,1,29420,,,
