entity,coupled,degree,average-revs
app/views/api/openid_connect/authorizations/_grants_list.haml,app/views/api/openid_connect/user_applications/_grants_list.haml,90,6
app/controllers/openid_connect/authorizations_controller.rb,spec/controllers/openid_connect/authorizations_controller_spec.rb,84,10
app/assets/stylesheets/mobile/settings.scss,app/views/user_applications/_add_remove_applications.haml,76,7
app/models/openid_connect/authorization.rb,spec/lib/openid_connect/protected_resource_endpoint_spec.rb,71,7
app/presenters/user_applications_presenter.rb,app/views/user_applications/_add_remove_applications.haml,66,8
lib/openid_connect/token_endpoint.rb,spec/lib/openid_connect/token_endpoint_spec.rb,63,10
app/models/openid_connect/authorization.rb,lib/openid_connect/token_endpoint.rb,63,10
app/controllers/api/openid_connect/authorizations_controller.rb,spec/controllers/api/openid_connect/authorizations_controller_spec.rb,58,26
app/models/api/openid_connect/authorization.rb,lib/api/openid_connect/authorization_point/endpoint.rb,55,9
lib/openid_connect/token_endpoint.rb,spec/lib/openid_connect/protected_resource_endpoint_spec.rb,52,10
app/models/user.rb,spec/controllers/openid_connect/authorizations_controller_spec.rb,50,10
db/migrate/20150613202109_create_o_auth_applications.rb,db/schema.rb,48,17
app/models/user.rb,db/schema.rb,47,17
app/models/api/openid_connect/o_auth_application.rb,spec/controllers/api/openid_connect/clients_controller_spec.rb,44,14
app/models/user.rb,lib/openid_connect/token_endpoint.rb,43,12
db/schema.rb,lib/openid_connect/token_endpoint.rb,40,18
db/schema.rb,spec/lib/api/openid_connect/token_endpoint_spec.rb,40,18
app/models/api/openid_connect/authorization.rb,app/models/api/openid_connect/o_auth_application.rb,40,15
app/controllers/api/openid_connect/authorizations_controller.rb,config/locales/diaspora/en.yml,34,23
db/migrate/20150708153926_create_authorizations.rb,db/schema.rb,34,15
db/schema.rb,spec/lib/openid_connect/protected_resource_endpoint_spec.rb,33,15
spec/controllers/api/openid_connect/authorizations_controller_spec.rb,spec/lib/api/openid_connect/token_endpoint_spec.rb,30,17
app/controllers/openid_connect/authorizations_controller.rb,db/schema.rb,30,17
