entity,coupled,degree,average-revs
app/assets/javascripts/admin.js,app/controllers/admin/action_pages_controller.rb,16,66
app/assets/stylesheets/application/_base.scss,app/assets/stylesheets/welcome.scss,16,56
app/assets/stylesheets/admin.scss,app/controllers/admin/action_pages_controller.rb,16,56
app/controllers/admin/action_pages_controller.rb,app/controllers/admin/events_controller.rb,16,54
app/controllers/action_page_controller.rb,app/helpers/congress_message_helper.rb,16,37
app/assets/stylesheets/application/_forms.scss,app/views/welcome/index.html.erb,16,36
app/views/admin/action_pages/_panel_settings.html.erb,db/schema.rb,16,31
app/controllers/tools_controller.rb,spec/factories/action_page.rb,16,31
app/views/tools/_email.html.erb,app/views/tools/_tweet.html.erb,16,30
app/views/admin/action_pages/_panel_analytics.html.erb,config/routes.rb,16,30
app/controllers/action_page_controller.rb,app/models/action_page.rb,15,53
app/assets/stylesheets/action_page.css.scss,app/views/tools/_petition.html.erb,15,39
app/views/tools/_call.html.erb,app/views/tools/_congress_message.html.erb,15,38
app/assets/stylesheets/action_page.css.scss,app/views/tools/_tweet.html.erb,15,33
app/views/tools/_newsletter_signup.html.erb,app/views/tools/_petition.html.erb,15,33
app/views/tools/_congress_message.html.erb,app/views/tools/_email.html.erb,15,33
app/assets/javascripts/application/tools/petition.js,app/views/tools/_petition.html.erb,15,33
app/controllers/admin/action_pages_controller.rb,app/views/admin/action_pages/_panel_settings.html.erb,14,54
app/assets/stylesheets/application/_base.scss,app/views/welcome/index.html.erb,14,43
app/assets/stylesheets/action_page.css.scss,app/views/tools/_call.html.erb,14,35
app/controllers/action_page_controller.rb,app/views/affiliations/_affiliation_fields.html.erb,14,34
app/assets/stylesheets/application/_base.scss,app/assets/stylesheets/application/_variables.scss,14,34
app/controllers/admin/institutions_controller.rb,config/routes.rb,14,34
app/assets/stylesheets/action_page.scss,app/assets/stylesheets/application/_base.scss,13,90
Gemfile,features/support/env.rb,13,44
app/assets/stylesheets/application/_mixins.scss,app/assets/stylesheets/welcome.scss,13,38
app/assets/javascripts/application/tools/congress_message.js,app/views/tools/_container.html.erb,13,38
app/controllers/action_page_controller.rb,config/routes.rb,12,55
app/assets/stylesheets/application/_base.scss,app/assets/stylesheets/application/_forms.scss,12,50
app/controllers/admin/action_pages_controller.rb,app/models/congress_message_campaign.rb,12,50
app/controllers/admin/action_pages_controller.rb,app/views/admin/action_pages/events.html.erb,12,48
app/controllers/admin/action_pages_controller.rb,app/controllers/concerns/date_range.rb,12,47
app/assets/stylesheets/action_page.scss,app/views/tools/_congress_message.html.erb,11,81
Gemfile,app/assets/javascripts/admin.js,11,54
app/controllers/admin/action_pages_controller.rb,app/models/ahoy/event.rb,11,54
app/assets/stylesheets/application/_base.scss,app/assets/stylesheets/application/_nav.scss,11,53
app/controllers/action_page_controller.rb,app/controllers/tools_controller.rb,11,52
app/controllers/action_page_controller.rb,app/views/tools/_petition.html.erb,11,52
app/assets/stylesheets/users.scss,app/assets/stylesheets/welcome.scss,11,44
app/views/tools/_congress_message.html.erb,app/views/tools/_petition.html.erb,11,43
app/assets/stylesheets/admin/action_pages.scss,app/controllers/admin/action_pages_controller.rb,10,49
app/assets/stylesheets/application/_forms.scss,app/assets/stylesheets/welcome.scss,10,49
app/controllers/admin/action_pages_controller.rb,app/views/admin/action_pages/_panel_action_pages.html.erb,10,49
app/controllers/tools_controller.rb,config/routes.rb,10,49
Dockerfile,Gemfile,10,49
app/assets/javascripts/admin.js,config/routes.rb,10,49
app/controllers/admin/action_pages_controller.rb,app/views/admin/action_pages/_panel_analytics.html.erb,10,47
